name,ring,quadrant,isNew,description
.Net 6,Trial,languages-and-frameworks,TRUE,"<p><a href=""https://devblogs.microsoft.com/dotnet/announcing-net-6/""><strong><span data-contrast=""none""><span data-ccp-charstyle=""Hyperlink"">.NET 6:</span></span></strong></a><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300,&quot;469777462&quot;:[1610],&quot;469777927&quot;:[0],&quot;469777928&quot;:[1]}"">&nbsp;</span></p>
<p><span data-contrast=""auto"">.NET 6 delivers the final parts of the .NET unification plan that started with .NET 5. .NET 6 unifies the SDK, base libraries, and runtime across mobile, desktop, IoT, and cloud apps. In addition to this unification, the .NET 6 ecosystem offers:</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300,&quot;469777462&quot;:[1610],&quot;469777927&quot;:[0],&quot;469777928&quot;:[1]}"">&nbsp;</span></p>
<ul>
<li data-leveltext="""" data-font=""Symbol"" data-listid=""2"" data-aria-posinset=""1"" data-aria-level=""1""><span data-contrast=""auto"">Simplified development: Getting started is easy. New language features in C# 10 reduce the amount of code you need to write. And investments in the web stack and minimal APIs make it easy to quickly write smaller, faster microservices.</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300,&quot;469777462&quot;:[1610],&quot;469777927&quot;:[0],&quot;469777928&quot;:[1]}"">&nbsp;</span></li>
<li data-leveltext="""" data-font=""Symbol"" data-listid=""2"" data-aria-posinset=""2"" data-aria-level=""1""><span data-contrast=""auto"">Better performance: .NET 6 is the fastest full stack web framework, which lowers compute costs if you're running in the cloud.</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300,&quot;469777462&quot;:[1610],&quot;469777927&quot;:[0],&quot;469777928&quot;:[1]}"">&nbsp;</span></li>
</ul>
<ul>
<li data-leveltext="""" data-font=""Symbol"" data-listid=""2"" data-aria-posinset=""1"" data-aria-level=""1""><span data-contrast=""auto"">Ultimate productivity: .NET 6 and Visual Studio 2022 provide hot reload, new git tooling, intelligent code editing, robust diagnostics and testing tools, and better team collaboration.</span>&nbsp;<br /><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300,&quot;469777462&quot;:[1610],&quot;469777927&quot;:[0],&quot;469777928&quot;:[1]}"">&nbsp;</span></li>
</ul>
<p><strong><span data-contrast=""auto"">.NET 6 will be supported for three years as a long-term support (LTS) release.</span></strong><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300,&quot;469777462&quot;:[1610],&quot;469777927&quot;:[0],&quot;469777928&quot;:[1]}"">&nbsp;</span></p>
<p><strong><span data-contrast=""auto"">.NET 6 is supported by Visual Studio 2022 and Visual Studio 2022 for Mac (and later versions).</span></strong><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300,&quot;469777462&quot;:[1610],&quot;469777927&quot;:[0],&quot;469777928&quot;:[1]}"">&nbsp;</span></p>
<p><strong><span data-contrast=""auto"">Some of the Highlights are:</span></strong><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300,&quot;469777462&quot;:[1610],&quot;469777927&quot;:[0],&quot;469777928&quot;:[1]}"">&nbsp;</span></p>
<ul>
<li data-leveltext="""" data-font=""Symbol"" data-listid=""3"" data-aria-posinset=""2"" data-aria-level=""1""><strong><span data-contrast=""auto"">Enhanced Performance with new written libraries</span></strong><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300,&quot;469777462&quot;:[1610],&quot;469777927&quot;:[0],&quot;469777928&quot;:[1]}"">&nbsp;</span></li>
</ul>
<ul>
<li data-leveltext="""" data-font=""Symbol"" data-listid=""3"" data-aria-posinset=""1"" data-aria-level=""1""><strong><span data-contrast=""auto"">New File Stream libraries</span></strong><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300,&quot;469777462&quot;:[1610],&quot;469777927&quot;:[0],&quot;469777928&quot;:[1]}"">&nbsp;</span></li>
<li data-leveltext="""" data-font=""Symbol"" data-listid=""3"" data-aria-posinset=""2"" data-aria-level=""1""><strong><span data-contrast=""auto"">Profile-guided optimization on the go</span></strong><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300,&quot;469777462&quot;:[1610],&quot;469777927&quot;:[0],&quot;469777928&quot;:[1]}"">&nbsp;</span></li>
<li data-leveltext="""" data-font=""Symbol"" data-listid=""3"" data-aria-posinset=""3"" data-aria-level=""1""><strong><span data-contrast=""auto"">Arm64 support is inbuilt</span></strong><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300,&quot;469777462&quot;:[1610],&quot;469777927&quot;:[0],&quot;469777928&quot;:[1]}"">&nbsp;</span></li>
<li data-leveltext="""" data-font=""Symbol"" data-listid=""3"" data-aria-posinset=""4"" data-aria-level=""1""><strong><span data-contrast=""auto"">With Hot reload, see your changes without re-run the application</span></strong><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300,&quot;469777462&quot;:[1610],&quot;469777927&quot;:[0],&quot;469777928&quot;:[1]}"">&nbsp;</span></li>
<li data-leveltext="""" data-font=""Symbol"" data-listid=""3"" data-aria-posinset=""5"" data-aria-level=""1""><strong><span data-contrast=""auto"">.NET MAUI (multi-platform app UI)</span></strong><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300,&quot;469777462&quot;:[1610],&quot;469777927&quot;:[0],&quot;469777928&quot;:[1]}"">&nbsp;</span></li>
</ul>
<ul>
<li data-leveltext="""" data-font=""Symbol"" data-listid=""3"" data-aria-posinset=""1"" data-aria-level=""1""><strong><span data-contrast=""auto"">C# 10 and templates and </span></strong><a href=""https://devblogs.microsoft.com/dotnet/announcing-net-6/""><strong><span data-contrast=""none""><span data-ccp-charstyle=""Hyperlink"">much more</span></span></strong></a><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300,&quot;469777462&quot;:[1610],&quot;469777927&quot;:[0],&quot;469777928&quot;:[1]}"">&nbsp;</span></li>
</ul>"
Dapper ORM,Adopt,languages-and-frameworks,FALSE,"<p><strong><span data-contrast=""auto"">DAPPER:</span></strong><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300}"">&nbsp;</span></p>
<p><span data-contrast=""auto"">Dapper is a popular simple object mapping tool. It is designed primarily to be used in scenarios where you want to work with data in a strongly-typed fashion - as business objects in a .NET application, but don't want to spend hours writing code to map query results from ADO.NET data readers to instances of those objects. Dapper is an open-source project under the Apache license. It is available as a NuGet package and has been downloaded over 16 million times.</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300}"">&nbsp;</span></p>
<p><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300}"">&nbsp;</span></p>
<p><span data-contrast=""auto"">The following are the key features of Dapper:</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300}"">&nbsp;</span></p>
<ul>
<li data-leveltext="""" data-font=""Symbol"" data-listid=""4"" data-aria-posinset=""1"" data-aria-level=""1""><span data-contrast=""auto"">Speedy and high performance</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300}"">&nbsp;</span></li>
<li data-leveltext="""" data-font=""Symbol"" data-listid=""4"" data-aria-posinset=""2"" data-aria-level=""1""><span data-contrast=""auto"">Fewer lines of code</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300}"">&nbsp;</span></li>
<li data-leveltext="""" data-font=""Symbol"" data-listid=""4"" data-aria-posinset=""3"" data-aria-level=""1""><span data-contrast=""auto"">Object mapper</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300}"">&nbsp;</span></li>
<li data-leveltext="""" data-font=""Symbol"" data-listid=""4"" data-aria-posinset=""4"" data-aria-level=""1""><span data-contrast=""auto"">Choice of static/dynamic object binding</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300}"">&nbsp;</span></li>
</ul>
<ul>
<li data-leveltext="""" data-font=""Symbol"" data-listid=""4"" data-aria-posinset=""1"" data-aria-level=""1""><span data-contrast=""auto"">Easy handling of SQL query</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300}"">&nbsp;</span></li>
<li data-leveltext="""" data-font=""Symbol"" data-listid=""4"" data-aria-posinset=""2"" data-aria-level=""1""><span data-contrast=""auto"">Multiple query support</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300}"">&nbsp;</span></li>
<li data-leveltext="""" data-font=""Symbol"" data-listid=""4"" data-aria-posinset=""3"" data-aria-level=""1""><span data-contrast=""auto"">Support and easy handling of stored procedures</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300}"">&nbsp;</span></li>
<li data-leveltext="""" data-font=""Symbol"" data-listid=""4"" data-aria-posinset=""4"" data-aria-level=""1""><span data-contrast=""auto"">Operating directly on the IDbConnection interface</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300}"">&nbsp;</span></li>
<li data-leveltext="""" data-font=""Symbol"" data-listid=""4"" data-aria-posinset=""5"" data-aria-level=""1""><span data-contrast=""auto"">Bulk data insert functionality</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300}"">&nbsp;</span></li>
</ul>
<p>&nbsp;<br /><span data-contrast=""auto"">Dapper works in the following way &ndash;&nbsp;</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300}"">&nbsp;</span></p>
<p><span data-contrast=""auto"">First, it creates an IDbConnection object and allows us to write queries to perform CRUD operations on the database.&nbsp;</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300}"">&nbsp;</span></p>
<p><span data-contrast=""auto"">Then, it passes the queries as one of its various parameters through one of its various methods.</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:300}"">&nbsp;</span></p>"
EF Core,Assess,languages-and-frameworks,FALSE,
Maria DB,Trial,Platforms,TRUE,
PostgreSQL,Trial,Platforms,TRUE,
Elasticsearch,Assess,Platforms,FALSE,"<p>Elasticsearch is a REST-based search and analytics engine based on Lucene. It has been developed with clustering and scaling in mind. It allows us to build complex queries while still delivering results very fast.</p>
<p>As we are using Microservices architecture at Softobiz, we have separate relational databases as per the requirements in our services. Hence, the data stored is at a different location and as we know querying data from multiple relational databases could be really expensive. We needed the combined data to be displayed in different forms like, reports, dashboards, etc. <br /> To solve this particular problem we have implemented Aggregator Pattern with Elasticsearch as our aggregator because it is really good in terms of scaling, ease of use, and performance. We have made use of the query DSL it is a powerful way of describing different search use cases with highly flexible support of aggregations, etc.</p>"
Ngrx,Assess,languages-and-frameworks,FALSE,"<p>NgRx Store provides reactive state management for Angular apps inspired by Redux. Unify the events in your application and derive state using RxJS. NgRx is, in essence, Redux for Angular. It's a framework for building reactive applications with Angular, providing ways to manage state and to isolate side effects. Adding reactive state management comes with added complexity that only pays off in larger applications. We had the requirement where we need to manage the state and need to share the data and filters across the components. Implementing the NgRx was straightforward. It is useful for the large applications.</p>"
Domain Driven Design ,Adopt,Techniques,FALSE,"<p><strong><span data-contrast=""none"">Domain driven design</span></strong><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></p><p><span data-contrast=""none"">&nbsp;</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></p><p><strong><span data-contrast=""none"">Assess</span></strong><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></p><p><span data-contrast=""none"">SEP 2019</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></p><p><span data-contrast=""none"">Using microservices means creating applications with loosely coupled designs. The application consists of multiple small services, each representing business goals. Each microservice can be developed and easily maintained individually, after which they are joined in a complex system.&nbsp;</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></p><p><span data-contrast=""none"">In microservice architecture, complexity is the problem that Domain-Driven design should solve. DDD provides many techniques and patterns to solve complex software applications.</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></p><p><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></p><p><span data-contrast=""none"">DEC 2020</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></p><p><strong><span data-contrast=""none"">Trial&nbsp;</span></strong><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></p><p><span data-contrast=""none"">While working with Domain driven design we focused on the following principles:</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></p><ul><li data-leveltext=""-"" data-font=""Calibri"" data-listid=""1"" data-list-defn-props=""{&quot;335552541&quot;:1,&quot;335559684&quot;:-2,&quot;335559685&quot;:720,&quot;335559991&quot;:360,&quot;469769226&quot;:&quot;Calibri&quot;,&quot;469769242&quot;:[8226],&quot;469777803&quot;:&quot;left&quot;,&quot;469777804&quot;:&quot;-&quot;,&quot;469777815&quot;:&quot;hybridMultilevel&quot;}"" data-aria-posinset=""1"" data-aria-level=""1""><span data-contrast=""none"">The primary focus of the project is the core Domain and Domain logic.</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></li><li data-leveltext=""-"" data-font=""Calibri"" data-listid=""1"" data-list-defn-props=""{&quot;335552541&quot;:1,&quot;335559684&quot;:-2,&quot;335559685&quot;:720,&quot;335559991&quot;:360,&quot;469769226&quot;:&quot;Calibri&quot;,&quot;469769242&quot;:[8226],&quot;469777803&quot;:&quot;left&quot;,&quot;469777804&quot;:&quot;-&quot;,&quot;469777815&quot;:&quot;hybridMultilevel&quot;}"" data-aria-posinset=""2"" data-aria-level=""1""><span data-contrast=""none"">Complex designs are based on models of the domain.</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></li><li data-leveltext=""-"" data-font=""Calibri"" data-listid=""1"" data-list-defn-props=""{&quot;335552541&quot;:1,&quot;335559684&quot;:-2,&quot;335559685&quot;:720,&quot;335559991&quot;:360,&quot;469769226&quot;:&quot;Calibri&quot;,&quot;469769242&quot;:[8226],&quot;469777803&quot;:&quot;left&quot;,&quot;469777804&quot;:&quot;-&quot;,&quot;469777815&quot;:&quot;hybridMultilevel&quot;}"" data-aria-posinset=""3"" data-aria-level=""1""><span data-contrast=""none"">Collaboration between the technical and domain experts.</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></li></ul><p><span data-contrast=""none"">While we make models, we keep in close contact with experts who have a good understanding of the real-world version of the system we are building.</span> <span data-contrast=""none"">Treat the domain expert as your co-developer, they know the problem in super detail but do not know how to code. We create the model in a way that solves real-world problems and at a later stage when the system grows, we need to break and reconstruct the model as per domain requirements.</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></p><p><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></p><p><span data-contrast=""none"">FEB 2020</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></p><p><strong><span data-contrast=""none"">Adopt</span></strong><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></p><p><span data-contrast=""none"">Common reasons that you would look to Domain Driven development would be projects that need to distill the knowledge of domain experts into a product. These types of projects can often suffer from a disconnect in domain understanding. Discovering this disconnect in code or in data models is expensive to fix. DDD can address this by tackling differences in domain understanding before implementation begins. It can create a perfect bridge of understanding between the business stakeholders, the problem-space, and the technical teams.</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></p>"
ECMAScript 6,Adopt,languages-and-frameworks,FALSE,"<p><strong><span data-contrast=""none"">ECMA Script 6</span></strong><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></p><p><strong><span data-contrast=""none"">Adopt</span></strong><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></p><p><span data-contrast=""none"">Over the last few years, JavaScript has grown to become the most used programming language. JavaScript is used by programmers across the world to create dynamic and interactive web applications. JavaScript has a few problems that many have attempted to address by using libraries or using their own language that runs on top of JavaScript. ES6 (ECMAScript 6 or ECMAScript 2015) the latest version of JavaScript, addresses many of the concerns of the older versions currently in use. ES6 brings new syntax and new awesome features to make your code more modern and more readable. It allows you to write less code and do more. We adopted ES6 standards a long time back. It introduces us to many excellent features like </span><strong><span data-contrast=""none"">arrow function, template strings, class destruction etc. </span></strong><span data-contrast=""none"">For new projects, we strongly suggest starting with ES6 from day one.</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></p>"
Storybook,Adopt,languages-and-frameworks,FALSE,"<p><strong><span data-contrast=""none"">Storybook.Js</span>&nbsp;</strong><br /><span data-contrast=""none"">Adopt 2018</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335551550&quot;:1,&quot;335551620&quot;:1,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></p>
<p><span data-contrast=""none"">Storybook is </span><strong><span data-contrast=""none"">a tool for UI development</span></strong><span data-contrast=""none""><strong>. </strong>It makes development faster and easier by isolating components. This allows us to work on one component at a time. We can develop entire UIs without needing to start up a complex dev stack, force certain data into your database, or navigate around your application.</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335551550&quot;:1,&quot;335551620&quot;:1,&quot;335559685&quot;:0,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></p>
<p><strong><span data-contrast=""none""><span data-ccp-parastyle=""heading 4"">Storybook&rsquo;s Rapid Growth</span></span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335559738&quot;:40,&quot;335559739&quot;:0,&quot;335559740&quot;:259}"">&nbsp;</span></strong></p>
<p><span data-contrast=""none"">During 2016, Storybook matured from a tool for React component development into a platform:</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335551550&quot;:1,&quot;335551620&quot;:1,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></p>
<ul>
<li><strong><span data-contrast=""none"">Addons</span><span data-contrast=""none"">.</span></strong><span data-contrast=""none"">&nbsp;Storybook has a flexible addon API, and it has been extended by Kadira and the community at large with dozens of addons to improve component design, testing, and documentation.</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335551550&quot;:1,&quot;335551620&quot;:1,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></li>
<li data-leveltext="""" data-font=""Symbol"" data-listid=""2"" data-list-defn-props=""{&quot;335552541&quot;:1,&quot;335559683&quot;:0,&quot;335559684&quot;:-2,&quot;335559685&quot;:720,&quot;335559991&quot;:360,&quot;469769226&quot;:&quot;Symbol&quot;,&quot;469769242&quot;:[8226],&quot;469777803&quot;:&quot;left&quot;,&quot;469777804&quot;:&quot;&quot;,&quot;469777815&quot;:&quot;hybridMultilevel&quot;}"" data-aria-posinset=""2"" data-aria-level=""1"">
<p><strong><span data-contrast=""none"">Frameworks</span><span data-contrast=""none"">.&nbsp;</span></strong><span data-contrast=""none"">Storybook&rsquo;s open architecture supports multiple component frameworks, and during 2016 it grew to support React Native.</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335551550&quot;:1,&quot;335551620&quot;:1,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></p>
</li>
</ul>
<p><span data-contrast=""none"">As Storybook matured, its usage grew tremendously. There are numerous great open-source projects for component development and documentation, but we believe Storybook&rsquo;s success is due to several factors:</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335551550&quot;:1,&quot;335551620&quot;:1,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></p>
<ol>
<li><span data-contrast=""none"">A zero-configuration integration with popular frameworks.</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335551550&quot;:1,&quot;335551620&quot;:1,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></li>
<li><span data-contrast=""none"">An open architecture and continual stream of new features.</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335551550&quot;:1,&quot;335551620&quot;:1,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></li>
<li><span data-contrast=""none"">Strong community marketing by Kadira.</span><span data-ccp-props=""{&quot;201341983&quot;:0,&quot;335551550&quot;:1,&quot;335551620&quot;:1,&quot;335559739&quot;:160,&quot;335559740&quot;:259}"">&nbsp;</span></li>
</ol>"
